Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16628416k(9554324k free), swap 19905216k(12933048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=629145600 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.655: [GC (Allocation Failure) 0.655: [DefNew: 959K->63K(960K), 0.0014291 secs] 42568K->42097K(524224K), 0.0014775 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.659: [GC (Allocation Failure) 0.659: [DefNew: 959K->64K(960K), 0.0013563 secs] 43013K->42375K(524224K), 0.0014133 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.661: [GC (Allocation Failure) 0.661: [DefNew: 960K->63K(960K), 0.0011456 secs] 43301K->42639K(524224K), 0.0011935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.664: [GC (Allocation Failure) 0.664: [DefNew: 959K->64K(960K), 0.0011429 secs] 43567K->42912K(524224K), 0.0011947 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.667: [GC (Allocation Failure) 0.667: [DefNew: 960K->63K(960K), 0.0014669 secs] 43823K->43227K(524224K), 0.0015334 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.670: [GC (Allocation Failure) 0.670: [DefNew: 959K->63K(960K), 0.0015681 secs] 44137K->43558K(524224K), 0.0016357 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.674: [GC (Allocation Failure) 0.674: [DefNew: 959K->63K(960K), 0.0015439 secs] 44468K->43885K(524224K), 0.0016093 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.677: [GC (Allocation Failure) 0.677: [DefNew: 959K->64K(960K), 0.0015420 secs] 44799K->44215K(524224K), 0.0016070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.681: [GC (Allocation Failure) 0.681: [DefNew: 960K->64K(960K), 0.0016043 secs] 45131K->44538K(524224K), 0.0016610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.684: [GC (Allocation Failure) 0.685: [DefNew: 960K->63K(960K), 0.0016810 secs] 45448K->44879K(524224K), 0.0017365 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
